Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
Deonte Banks,25.0,22.0,CB,15,15.0,200.0,,Maryland,3/3/01,Rook,5.0,New York Giants / 1st / 24th pick / 2023,BankDe00
Saquon Barkley,26.0,26.0,RB,14,14.0,232.0,6-1,Penn St.,2/9/97,5,6.0,New York Giants / 1st / 2nd pick / 2018,BarkSa00
Boogie Basham,45.0,26.0,OLB,13,0.0,274.0,6-3,Wake Forest,12/16/97,2,1.0,Buffalo Bills / 2nd / 61st pick / 2021,BashCa00
Darrian Beavers,43.0,24.0,LB,2,0.0,255.0,6-4,ConnecticutCincinnati,7/5/99,Rook,0.0,New York Giants / 6th / 182nd pick / 2022,BeavDa00
Daniel Bellinger,82.0,23.0,TE,17,13.0,255.0,6-6,San Diego St.,9/22/00,1,2.0,New York Giants / 4th / 112th pick / 2022,BellDa00
Dane Belton,24.0,23.0,S,17,2.0,190.0,6-1,Iowa,12/7/00,1,2.0,New York Giants / 4th / 114th pick / 2022,BeltDa00
Ben Bredeson,68.0,25.0,G,16,16.0,310.0,6-5,Michigan,2/20/98,3,5.0,Baltimore Ravens / 4th / 143rd pick / 2020,BredBe00
Matt Breida,31.0,28.0,RB,17,4.0,195.0,5-10,Georgia Southern,2/28/95,6,1.0,,BreiMa00
Cam Brown,47.0,25.0,LB,16,0.0,235.0,6-5,Penn St.,4/1/98,3,1.0,New York Giants / 6th / 183rd pick / 2020,BrowCa01
Parris Campbell,0.0,26.0,WR,12,3.0,205.0,6-1,Ohio St.,7/16/97,4,1.0,Indianapolis Colts / 2nd / 59th pick / 2019,CampPa00
Jashaun Corbin,35.0,23.0,RB,6,0.0,203.0,5-11,Texas A&MFlorida St.,8/20/00,Rook,0.0,,CorbJa01
Carter Coughlin,52.0,26.0,LB,17,0.0,240.0,6-3,Minnesota,7/21/97,3,1.0,New York Giants / 7th / 218th pick / 2020,CougCa00
D.J. Davidson,98.0,26.0,DL,15,2.0,320.0,6-3,Arizona St.,9/19/97,1,2.0,New York Giants / 5th / 147th pick / 2022,DaviDJ00
Tommy DeVito,15.0,25.0,QB,9,6.0,210.0,6-2,SyracuseIllinois,8/7/98,Rook,4.0,,DeViTo00
Jacob Eason,5.0,26.0,QB,0,0.0,231.0,6-6,GeorgiaWashington,11/17/97,2,,Indianapolis Colts / 4th / 122nd pick / 2020,EasoJa00
Cordale Flott,28.0,22.0,CB,14,7.0,175.0,6-2,LSU,8/24/01,1,3.0,New York Giants / 3rd / 81st pick / 2022,FlotCo00
Jamie Gillan,6.0,26.0,P,17,0.0,207.0,6-1,Ark-Pine Bluff,7/4/97,4,2.0,,GillJa00
Mark Glowinski,64.0,31.0,G,13,6.0,310.0,6-4,LackawannaWest Virginia,5/3/92,8,2.0,Seattle Seahawks / 4th / 134th pick / 2015,GlowMa00
Eric Gray,20.0,24.0,RB,13,0.0,211.0,,TennesseeOklahoma,11/4/99,Rook,0.0,New York Giants / 5th / 172nd pick / 2023,GrayEr01
Sean Harlow,65.0,28.0,OL,7,0.0,284.0,6-4,Oregon St.,3/28/95,4,0.0,Atlanta Falcons / 4th / 136th pick / 2017,HarlSe00
Tre Hawkins,37.0,23.0,CB,17,3.0,195.0,6-3,Trinity Valley CC (TX)Old Dominion,8/1/00,Rook,2.0,New York Giants / 6th / 209th pick / 2023,HawkTr00
Isaiah Hodgins,18.0,25.0,WR,17,9.0,200.0,6-3,Oregon St.,10/21/98,2,2.0,Buffalo Bills / 6th / 207th pick / 2020,HodgIs00
Darnay Holmes,30.0,25.0,CB,16,0.0,195.0,5-10,UCLA,6/23/98,3,1.0,New York Giants / 4th / 110th pick / 2020,HolmDa01
Timmy Horne,96.0,26.0,DL,1,0.0,323.0,6-4,CharlotteKansas St.,10/25/97,1,0.0,,HornTi00
Jalin Hyatt,13.0,22.0,WR,17,7.0,185.0,,Tennessee,9/25/01,Rook,3.0,New York Giants / 3rd / 73rd pick / 2023,HyatJa00
Adoree' Jackson,22.0,28.0,CB,14,14.0,185.0,5-11,USC,9/18/95,6,4.0,Tennessee Titans / 1st / 18th pick / 2017,JackAd00
Tyree Jackson,84.0,26.0,TE,2,1.0,249.0,6-7,Buffalo,11/7/97,2,0.0,,JackTy01
Casey Kreiter,59.0,33.0,LS,17,0.0,250.0,6-1,Iowa,8/13/90,7,1.0,,KreiCa00
Dexter Lawrence,97.0,26.0,DL,16,16.0,340.0,6-4,Clemson,11/12/97,4,14.0,New York Giants / 1st / 17th pick / 2019,LawrDe03
Nick McCloud,44.0,25.0,CB,17,3.0,193.0,6-1,North Carolina St.Notre Dame,7/9/98,2,2.0,,McClNi00
Micah McFadden,41.0,23.0,LB,16,14.0,232.0,6-2,Indiana,1/3/00,1,8.0,New York Giants / 5th / 146th pick / 2022,McFaMi01
Marcus McKethan,60.0,24.0,OL,16,5.0,335.0,6-7,North Carolina,5/19/99,Rook,2.0,New York Giants / 5th / 173rd pick / 2022,McKeMa01
Xavier McKinney,29.0,24.0,S,17,17.0,201.0,6-1,Alabama,8/9/99,3,6.0,New York Giants / 2nd / 36th pick / 2020,McKiXa00
Rakeem Nunez-Roches,93.0,30.0,DL,16,4.0,305.0,6-2,Southern Miss,7/3/93,8,3.0,Kansas City Chiefs / 6th / 217th pick / 2015,NuneRa00
Azeez Ojulari,51.0,23.0,OLB,11,7.0,240.0,6-3,Georgia,6/16/00,2,4.0,New York Giants / 2nd / 50th pick / 2021,OjulAz00
Bobby Okereke,58.0,27.0,LB,17,17.0,235.0,6-1,Stanford,7/29/96,4,8.0,Indianapolis Colts / 3rd / 89th pick / 2019,OkerBo00
Gunner Olszewski,80.0,27.0,WR,10,0.0,190.0,6-1,Bemidji St.,11/26/96,4,1.0,,OlszGu00
Gervarrius Owens,39.0,24.0,S,3,0.0,200.0,,NE Oklahoma A&MHouston,10/14/99,Rook,0.0,New York Giants / 7th / 254th pick / 2023,OwenGe00
Matt Peart,74.0,26.0,T,8,1.0,315.0,6-7,Connecticut,6/11/97,3,1.0,New York Giants / 3rd / 99th pick / 2020,PearMa00
Justin Pugh,67.0,33.0,OL,12,12.0,311.0,6-5,Syracuse,8/15/90,10,4.0,New York Giants / 1st / 19th pick / 2013,PughJu00
Jordon Riley,95.0,25.0,DL,8,0.0,315.0,6-5,North CarolinaGarden City (KS)NebraskaOregon,5/19/98,Rook,1.0,New York Giants / 7th / 243rd pick / 2023,RileJo00
A'Shawn Robinson,91.0,28.0,DL,17,13.0,330.0,6-4,Alabama,3/21/95,7,6.0,Detroit Lions / 2nd / 46th pick / 2016,RobiAS00
Wan'Dale Robinson,17.0,22.0,WR,15,8.0,185.0,5-8,NebraskaKentucky,1/5/01,1,4.0,New York Giants / 2nd / 43rd pick / 2022,RobiWa01
John Michael Schmitz,61.0,24.0,C,13,13.0,320.0,,Minnesota,3/19/99,Rook,4.0,New York Giants / 2nd / 57th pick / 2023,MichJo00
Sterling Shepard,3.0,30.0,WR,15,2.0,198.0,5-10,Oklahoma,2/10/93,7,0.0,New York Giants / 2nd / 40th pick / 2016,ShepSt00
Isaiah Simmons,19.0,25.0,S,17,4.0,238.0,6-4,Clemson,7/26/98,3,2.0,Arizona Cardinals / 1st / 8th pick / 2020,SimmIs00
